Sample material properties:
 material_id  transition_metal_content  rare_earth_content  carbon_content  main_group_content  alkali_metal_content  halogen_content  post_transition_metal_content  s_electron_count  p_electron_count  d_electron_count  f_electron_count  total_valence_electrons crystalline_symmetry  spin_orbit_coupling  magnetic_anisotropy  electron_phonon_coupling  thermal_stability  chemical_stability  synthesis_difficulty  cost_factor
      1               0.116964               0.124507          0.087867          0.135807             0.195161           0.150728                0.188966                 1.297345          1.406897          7.771977         13.052347            23.528565                    cubic           1.674200            -0.228562                0.063990             624.336867           0.476939             0.225579         2.564461  
      2               0.038906               0.170992          0.067152          0.131064             0.196343           0.191226                0.204317                 0.327017          0.388103          9.601992          0.490982            10.808094                triclinic           0.191707             0.307590                0.211359             505.212686           0.457940             0.835146         8.791919  
      3               0.103311               0.108997          0.086517          0.003938             0.192919           0.244963                0.259355                 1.737583          5.320086          1.148194         11.452369            19.658232             orthorhombic           0.726143             0.224641                0.509030              61.339223           0.879549             0.032274         0.193134  
      4               0.004480               0.207429          0.269602          0.207234             0.059862           0.205460                0.045934                 1.573970          1.151394          0.103275         11.891977            14.720616             orthorhombic           0.082437             0.386324                0.561148             258.279984           0.039871             0.637180         0.666485  
      5               0.008073               0.072771          0.432610          0.103078             0.127496           0.167857                0.088115                 1.981651          4.783367          4.770530          5.494435            17.029983                hexagonal           1.735493             0.135829                0.007010             464.049893           0.664820             0.237697         7.785146  
      6               0.039721               0.038509          0.258877          0.232222             0.000980           0.184868                0.244823                 0.621848          5.328760          6.582534          3.427153            15.960294               monoclinic           1.091851             0.214314                0.266686             528.957605           0.924495             0.737127         3.183779  
      7               0.028633               0.396679          0.212173          0.013966             0.126571           0.023567                0.198410                 0.837130          3.603405          2.149050          3.459953            10.049538               tetragonal           1.185004             0.792757                0.525564              59.088680           0.863647             0.750770         5.013102  
      8               0.062016               0.297173          0.113272          0.172878             0.063127           0.009078                0.282455                 1.295127          4.151925          5.146583          1.065058            11.658693                    cubic           1.954547             0.567758                0.615267             131.726714           0.099208             0.820988         6.465627  
      9               0.115027               0.074240          0.207908          0.029518             0.144193           0.220892                0.208222                 0.633723          2.667517          9.136327         10.531134            22.968701                    cubic           1.446555             0.219467                0.535221             642.676769           0.151224             0.564867         6.115918  
     10               0.143902               0.176565          0.188541          0.099511             0.158904           0.156947                0.075631                 0.784982          4.013297          6.723418          3.466797            14.988493                 trigonal           0.043214            -0.219406                0.300224             485.830990           0.281763             0.866176         4.683892  
     11               0.296154               0.011886          0.138825          0.112509             0.246492           0.162418                0.031715                 0.559540          0.220950          0.000624         13.542556            14.323671                 trigonal           1.551478             0.016630                0.336576             111.396480           0.859115             0.936779         5.806780  
     12               0.015895               0.223884          0.130618          0.193632             0.195478           0.177800                0.062693                 0.983327          1.375913          5.492113          2.001897             9.853250                triclinic           0.979390            -0.838952                0.918356             192.923979           0.725831             0.745821         9.020797  
     13               0.109053               0.144950          0.018433          0.064554             0.194998           0.149646                0.318365                 0.284811          4.585676          7.517976          0.815708            13.204170             orthorhombic           1.091655            -0.257276                0.487597             219.023191           0.701206             0.775887         2.653341  
     14               0.042601               0.285365          0.131743          0.005738             0.117340           0.255268                0.161946                 0.299796          1.478101          5.655653          9.743966            17.177516                triclinic           0.050817             0.920949                0.039371             539.070258           0.703776             0.233415         5.734248  
     15               0.056757               0.051068          0.172714          0.249643             0.164753           0.073073                0.231990                 0.308612          5.333523          5.235674          3.559775            14.437584             orthorhombic           1.608712             0.869583                0.065793             177.543153           0.118798             0.888431         4.910061  
     16               0.089671               0.117416          0.062236          0.230437             0.064064           0.205713                0.230463                 1.061549          4.474784          1.039482          5.310759            11.886573               tetragonal           0.224192            -0.040761                0.339168             785.762529           0.899848             0.916654         1.987605  
     17               0.224809               0.042847          0.256919          0.097402             0.048792           0.150500                0.178731                 0.071722          2.692409          0.386211          3.121849             6.272191               tetragonal           0.675344             0.970902                0.959811             159.957401           0.253042             0.068248         7.628654  
     18               0.219023               0.049260          0.147577          0.265566             0.005330           0.189983                0.123261                 1.839288          5.193890          4.331714          7.000524            18.365416               tetragonal           0.502852             0.302703                0.667814             376.159913           0.721704             0.534076         8.085264  
     19               0.016027               0.161690          0.199684          0.046496             0.315035           0.132932                0.128136                 0.351629          2.626650          4.045980          3.323800            10.348059                triclinic           1.821230            -0.485191                0.026476             711.386655           0.007988             0.268357         4.969532  
     20               0.335849               0.037827          0.041493          0.186646             0.234959           0.035754                0.127474                 0.027777          4.201104          4.362158         11.464558            20.055597               tetragonal           0.511608             0.143425                0.225552             403.214507           0.517560             0.976452         6.439340  
     21               0.216940               0.140080          0.171872          0.105374             0.117138           0.229432                0.019165                 1.892939          2.904959          2.837694          8.091659            15.727252                    cubic           1.017937            -0.627948                0.272188             305.087544           0.801673             0.255248         0.647530  
     22               0.141762               0.109594          0.216406          0.129178             0.141426           0.024222                0.237411                 0.332012          5.414258          1.369512          0.917571             8.033353                hexagonal           1.246320             0.665200                0.757531             140.309315           0.380240             0.409859         3.357772  
     23               0.212320               0.140476          0.165062          0.041084             0.071436           0.135177                0.234445                 0.154128          5.700845          5.521131          2.184429            13.560533                triclinic           0.217868             0.207967                0.975385             573.868933           0.982439             0.425212         8.171192  
